Assay,Species,Extract,LC50_mg_mL,LC50_95CI,LC90_mg_mL,LC90_95CI,Slope_m,df,Chi_square
Larval,R. decoloratus,Stem bark DCM,2.78,5.72–7.66,20.21,9.03–45.23,1.49,8,61.9
Larval,R. decoloratus,Stem bark MeOH,6.91,8.89–11.62,34.63,18.16–66.03,1.83,8,40.5
Larval,R. decoloratus,Exudate DCM,5.54,7.04–9.08,26.46,13.86–50.52,1.89,8,84.47
Larval,R. decoloratus,Exudate MeOH,8.42,13.26–16.65,40.95,21.78–76.99,1.87,8,65.23
Larval,R. microplus,Stem bark DCM,5.54,7.90–9.81,38.6,18.21–81.84,1.52,8,43.56
Larval,R. microplus,Stem bark MeOH,8.49,11.95–15.35,97.62,37.69–252.84,1.21,8,59.11
Larval,R. microplus,Exudate DCM,5.85,10.09–12.70,72.67,27.63–191.12,1.17,8,48.6
Larval,R. microplus,Exudate MeOH,12.75,20.30–25.28,168.0,58.99–478.50,1.14,8,21.28
Adult,R. decoloratus,Stem bark DCM,6.62,5.72–7.66,44.31,37.16–52.83,1.55,13,46.05
Adult,R. decoloratus,Stem bark MeOH,10.16,8.89–11.62,89.6,70.57–113.76,1.36,13,33.31
Adult,R. decoloratus,Exudate DCM,7.99,7.04–9.08,49.78,41.83–59.22,1.61,13,59.14
Adult,R. decoloratus,Exudate MeOH,14.86,13.26–16.65,119.7,93.55–153.39,1.41,13,16.18
Adult,R. microplus,Stem bark DCM,8.8,7.90–9.81,45.47,22.03–90.14,1.82,13,39.49
Adult,R. microplus,Stem bark MeOH,13.54,11.95–15.35,130.2,48.15–352.58,1.3,13,23.14
Adult,R. microplus,Exudate DCM,11.32,10.09–12.70,78.23,34.08–179.56,1.53,13,14.23
Adult,R. microplus,Exudate MeOH,22.66,20.30–25.28,178.7,67.90–470.41,1.43,13,15.84
