Species,Assay,Extract,Concentration_mg_mL,Exposure_h,Mean_mortality_percent,Stage,PlantPart,Solvent,Mortality_fraction,Data_type,Species_Rhipicephalus_decoloratus,Species_Rhipicephalus_microplus,Stage_Adult,Stage_Larval,PlantPart_Exudate,PlantPart_Stem_bark,Solvent_DCM,Solvent_MeOH
Rhipicephalus decoloratus,Larval immersion test,Stem bark-DCM,5.0,24.0,16.65,Larval,Stem bark,DCM,0.16649999999999998,Paper-reported mean; not raw replicate-level observations,1,0,0,1,0,1,1,0
Rhipicephalus decoloratus,Larval immersion test,Stem bark-DCM,5.0,48.0,49.49,Larval,Stem bark,DCM,0.4949,Paper-reported mean; not raw replicate-level observations,1,0,0,1,0,1,1,0
Rhipicephalus decoloratus,Larval immersion test,Stem bark-DCM,5.0,72.0,68.98,Larval,Stem bark,DCM,0.6898000000000001,Paper-reported mean; not raw replicate-level observations,1,0,0,1,0,1,1,0
Rhipicephalus decoloratus,Larval immersion test,Stem bark-MeOH,5.0,24.0,3.73,Larval,Stem bark,MeOH,0.0373,Paper-reported mean; not raw replicate-level observations,1,0,0,1,0,1,0,1
Rhipicephalus decoloratus,Larval immersion test,Stem bark-MeOH,5.0,48.0,25.59,Larval,Stem bark,MeOH,0.2559,Paper-reported mean; not raw replicate-level observations,1,0,0,1,0,1,0,1
Rhipicephalus decoloratus,Larval immersion test,Stem bark-MeOH,5.0,72.0,40.99,Larval,Stem bark,MeOH,0.40990000000000004,Paper-reported mean; not raw replicate-level observations,1,0,0,1,0,1,0,1
Rhipicephalus decoloratus,Larval immersion test,Exudate-MeOH,5.0,24.0,3.04,Larval,Exudate,MeOH,0.0304,Paper-reported mean; not raw replicate-level observations,1,0,0,1,1,0,0,1
Rhipicephalus decoloratus,Larval immersion test,Exudate-MeOH,5.0,48.0,24.9,Larval,Exudate,MeOH,0.249,Paper-reported mean; not raw replicate-level observations,1,0,0,1,1,0,0,1
Rhipicephalus decoloratus,Larval immersion test,Exudate-MeOH,5.0,72.0,38.19,Larval,Exudate,MeOH,0.38189999999999996,Paper-reported mean; not raw replicate-level observations,1,0,0,1,1,0,0,1
Rhipicephalus decoloratus,Larval immersion test,Exudate-DCM,5.0,24.0,14.69,Larval,Exudate,DCM,0.1469,Paper-reported mean; not raw replicate-level observations,1,0,0,1,1,0,1,0
Rhipicephalus decoloratus,Larval immersion test,Exudate-DCM,5.0,48.0,35.95,Larval,Exudate,DCM,0.35950000000000004,Paper-reported mean; not raw replicate-level observations,1,0,0,1,1,0,1,0
