Species,Assay,Extract,Concentration_mg_mL,Exposure_h,Mean_mortality_percent
R. decoloratus,Larval immersion test,Stem bark-DCM,5,24,16.65
R. decoloratus,Larval immersion test,Stem bark-DCM,5,48,49.49
R. decoloratus,Larval immersion test,Stem bark-DCM,5,72,68.98
R. decoloratus,Larval immersion test,Stem bark-MeOH,5,24,3.73
R. decoloratus,Larval immersion test,Stem bark-MeOH,5,48,25.59
R. decoloratus,Larval immersion test,Stem bark-MeOH,5,72,40.99
R. decoloratus,Larval immersion test,Exudate-MeOH,5,24,3.04
R. decoloratus,Larval immersion test,Exudate-MeOH,5,48,24.9
R. decoloratus,Larval immersion test,Exudate-MeOH,5,72,38.19
R. decoloratus,Larval immersion test,Exudate-DCM,5,24,14.69
R. decoloratus,Larval immersion test,Exudate-DCM,5,48,35.95
R. decoloratus,Larval immersion test,Exudate-DCM,5,72,50.17
R. decoloratus,Larval immersion test,Stem bark-DCM,10,24,26.7
R. decoloratus,Larval immersion test,Stem bark-DCM,10,48,65.46
R. decoloratus,Larval immersion test,Stem bark-DCM,10,72,76.84
R. decoloratus,Larval immersion test,Stem bark-MeOH,10,24,15.31
R. decoloratus,Larval immersion test,Stem bark-MeOH,10,48,35.13
R. decoloratus,Larval immersion test,Stem bark-MeOH,10,72,63.89
R. decoloratus,Larval immersion test,Exudate-MeOH,10,24,8.45
R. decoloratus,Larval immersion test,Exudate-MeOH,10,48,33.83
R. decoloratus,Larval immersion test,Exudate-MeOH,10,72,51.73
R. decoloratus,Larval immersion test,Exudate-DCM,10,24,22.05
R. decoloratus,Larval immersion test,Exudate-DCM,10,48,61.5
R. decoloratus,Larval immersion test,Exudate-DCM,10,72,65.08
R. decoloratus,Larval immersion test,Stem bark-DCM,20,24,33.45
R. decoloratus,Larval immersion test,Stem bark-DCM,20,48,75.61
R. decoloratus,Larval immersion test,Stem bark-DCM,20,72,85.56
R. decoloratus,Larval immersion test,Stem bark-MeOH,20,24,17.72
R. decoloratus,Larval immersion test,Stem bark-MeOH,20,48,51.17
R. decoloratus,Larval immersion test,Stem bark-MeOH,20,72,76.48
R. decoloratus,Larval immersion test,Exudate-MeOH,20,24,10.42
R. decoloratus,Larval immersion test,Exudate-MeOH,20,48,39.74
R. decoloratus,Larval immersion test,Exudate-MeOH,20,72,75.07
R. decoloratus,Larval immersion test,Exudate-DCM,20,24,30.91
R. decoloratus,Larval immersion test,Exudate-DCM,20,48,71.44
R. decoloratus,Larval immersion test,Exudate-DCM,20,72,84.48
R. decoloratus,Larval immersion test,Stem bark-DCM,40,24,49.47
R. decoloratus,Larval immersion test,Stem bark-DCM,40,48,83.49
R. decoloratus,Larval immersion test,Stem bark-DCM,40,72,96.67
R. decoloratus,Larval immersion test,Stem bark-MeOH,40,24,21.64
R. decoloratus,Larval immersion test,Stem bark-MeOH,40,48,65.62
R. decoloratus,Larval immersion test,Stem bark-MeOH,40,72,89.37
R. decoloratus,Larval immersion test,Exudate-MeOH,40,24,14.68
R. decoloratus,Larval immersion test,Exudate-MeOH,40,48,57.54
R. decoloratus,Larval immersion test,Exudate-MeOH,40,72,85.71
R. decoloratus,Larval immersion test,Exudate-DCM,40,24,40.56
R. decoloratus,Larval immersion test,Exudate-DCM,40,48,78.95
R. decoloratus,Larval immersion test,Exudate-DCM,40,72,93.75
