Species,Assay,Extract,Concentration_mg_mL,Exposure_h,Mean_mortality_percent
R. decoloratus,Adult immersion test,Stem bark-DCM,5,24,18.0
R. decoloratus,Adult immersion test,Stem bark-DCM,5,48,29.33
R. decoloratus,Adult immersion test,Stem bark-DCM,5,72,48.33
R. decoloratus,Adult immersion test,Stem bark-MeOH,5,24,8.67
R. decoloratus,Adult immersion test,Stem bark-MeOH,5,48,18.0
R. decoloratus,Adult immersion test,Stem bark-MeOH,5,72,39.0
R. decoloratus,Adult immersion test,Exudate-MeOH,5,24,5.67
R. decoloratus,Adult immersion test,Exudate-MeOH,5,48,12.0
R. decoloratus,Adult immersion test,Exudate-MeOH,5,72,28.0
R. decoloratus,Adult immersion test,Exudate-DCM,5,24,10.33
R. decoloratus,Adult immersion test,Exudate-DCM,5,48,21.67
R. decoloratus,Adult immersion test,Exudate-DCM,5,72,41.0
R. decoloratus,Adult immersion test,Stem bark-DCM,10,24,25.33
R. decoloratus,Adult immersion test,Stem bark-DCM,10,48,39.33
R. decoloratus,Adult immersion test,Stem bark-DCM,10,72,58.33
R. decoloratus,Adult immersion test,Stem bark-MeOH,10,24,12.0
R. decoloratus,Adult immersion test,Stem bark-MeOH,10,48,27.67
R. decoloratus,Adult immersion test,Stem bark-MeOH,10,72,46.67
R. decoloratus,Adult immersion test,Exudate-MeOH,10,24,10.0
R. decoloratus,Adult immersion test,Exudate-MeOH,10,48,18.0
R. decoloratus,Adult immersion test,Exudate-MeOH,10,72,36.0
R. decoloratus,Adult immersion test,Exudate-DCM,10,24,18.33
R. decoloratus,Adult immersion test,Exudate-DCM,10,48,29.0
R. decoloratus,Adult immersion test,Exudate-DCM,10,72,56.0
R. decoloratus,Adult immersion test,Stem bark-DCM,20,24,29.0
R. decoloratus,Adult immersion test,Stem bark-DCM,20,48,50.33
R. decoloratus,Adult immersion test,Stem bark-DCM,20,72,71.67
R. decoloratus,Adult immersion test,Stem bark-MeOH,20,24,19.33
R. decoloratus,Adult immersion test,Stem bark-MeOH,20,48,46.67
R. decoloratus,Adult immersion test,Stem bark-MeOH,20,72,63.0
R. decoloratus,Adult immersion test,Exudate-MeOH,20,24,15.0
R. decoloratus,Adult immersion test,Exudate-MeOH,20,48,32.0
R. decoloratus,Adult immersion test,Exudate-MeOH,20,72,58.33
R. decoloratus,Adult immersion test,Exudate-DCM,20,24,25.0
R. decoloratus,Adult immersion test,Exudate-DCM,20,48,47.67
R. decoloratus,Adult immersion test,Exudate-DCM,20,72,70.0
R. decoloratus,Adult immersion test,Stem bark-DCM,40,24,34.33
R. decoloratus,Adult immersion test,Stem bark-DCM,40,48,67.33
R. decoloratus,Adult immersion test,Stem bark-DCM,40,72,85.67
R. decoloratus,Adult immersion test,Stem bark-MeOH,40,24,26.0
R. decoloratus,Adult immersion test,Stem bark-MeOH,40,48,52.67
R. decoloratus,Adult immersion test,Stem bark-MeOH,40,72,74.0
R. decoloratus,Adult immersion test,Exudate-MeOH,40,24,22.33
R. decoloratus,Adult immersion test,Exudate-MeOH,40,48,39.33
R. decoloratus,Adult immersion test,Exudate-MeOH,40,72,72.0
R. decoloratus,Adult immersion test,Exudate-DCM,40,24,32.33
R. decoloratus,Adult immersion test,Exudate-DCM,40,48,57.0
R. decoloratus,Adult immersion test,Exudate-DCM,40,72,81.33
R. decoloratus,Adult immersion test,Stem bark-DCM,80,24,47.33
R. decoloratus,Adult immersion test,Stem bark-DCM,80,48,75.67
R. decoloratus,Adult immersion test,Stem bark-DCM,80,72,100.0
R. decoloratus,Adult immersion test,Stem bark-MeOH,80,24,35.67
R. decoloratus,Adult immersion test,Stem bark-MeOH,80,48,58.0
R. decoloratus,Adult immersion test,Stem bark-MeOH,80,72,95.0
R. decoloratus,Adult immersion test,Exudate-MeOH,80,24,28.67
R. decoloratus,Adult immersion test,Exudate-MeOH,80,48,53.0
R. decoloratus,Adult immersion test,Exudate-MeOH,80,72,86.0
R. decoloratus,Adult immersion test,Exudate-DCM,80,24,38.0
R. decoloratus,Adult immersion test,Exudate-DCM,80,48,68.33
R. decoloratus,Adult immersion test,Exudate-DCM,80,72,100.0
R. microplus,Adult immersion test,Stem bark-DCM,5,24,16.0
R. microplus,Adult immersion test,Stem bark-DCM,5,48,27.67
R. microplus,Adult immersion test,Stem bark-DCM,5,72,34.67
R. microplus,Adult immersion test,Stem bark-MeOH,5,24,8.67
R. microplus,Adult immersion test,Stem bark-MeOH,5,48,16.67
R. microplus,Adult immersion test,Stem bark-MeOH,5,72,28.0
